iteration,area,repetition,s_method
6,3.24,1,Monte Carlo
7,2.44,1,Monte Carlo
8,2.28,1,Monte Carlo
9,2.16,1,Monte Carlo
10,2.0,1,Monte Carlo
11,1.48,1,Monte Carlo
12,1.88,1,Monte Carlo
13,1.52,1,Monte Carlo
14,1.8,1,Monte Carlo
15,1.64,1,Monte Carlo
16,1.96,1,Monte Carlo
17,1.96,1,Monte Carlo
18,2.36,1,Monte Carlo
19,1.8,1,Monte Carlo
20,1.88,1,Monte Carlo
21,1.48,1,Monte Carlo
22,1.52,1,Monte Carlo
23,1.44,1,Monte Carlo
24,1.8,1,Monte Carlo
25,1.92,1,Monte Carlo
26,2.0,1,Monte Carlo
27,1.8,1,Monte Carlo
28,1.8,1,Monte Carlo
29,1.64,1,Monte Carlo
30,1.44,1,Monte Carlo
31,1.4,1,Monte Carlo
32,1.84,1,Monte Carlo
33,1.4,1,Monte Carlo
34,1.72,1,Monte Carlo
35,1.68,1,Monte Carlo
36,1.56,1,Monte Carlo
37,1.6,1,Monte Carlo
38,1.64,1,Monte Carlo
39,1.76,1,Monte Carlo
40,1.64,1,Monte Carlo
41,1.36,1,Monte Carlo
42,1.24,1,Monte Carlo
43,1.64,1,Monte Carlo
44,1.6,1,Monte Carlo
45,1.44,1,Monte Carlo
46,1.4,1,Monte Carlo
47,1.88,1,Monte Carlo
48,1.72,1,Monte Carlo
49,1.76,1,Monte Carlo
50,1.24,1,Monte Carlo
51,1.88,1,Monte Carlo
52,2.08,1,Monte Carlo
53,1.64,1,Monte Carlo
54,1.6,1,Monte Carlo
55,1.56,1,Monte Carlo
56,1.32,1,Monte Carlo
57,1.4,1,Monte Carlo
58,1.48,1,Monte Carlo
59,1.64,1,Monte Carlo
60,1.6,1,Monte Carlo
61,1.6,1,Monte Carlo
62,1.84,1,Monte Carlo
63,1.64,1,Monte Carlo
64,1.32,1,Monte Carlo
65,1.88,1,Monte Carlo
66,1.68,1,Monte Carlo
67,1.52,1,Monte Carlo
68,1.96,1,Monte Carlo
69,1.36,1,Monte Carlo
70,1.64,1,Monte Carlo
71,1.76,1,Monte Carlo
72,1.64,1,Monte Carlo
73,1.52,1,Monte Carlo
74,1.48,1,Monte Carlo
75,1.36,1,Monte Carlo
76,1.8,1,Monte Carlo
77,1.36,1,Monte Carlo
78,1.4,1,Monte Carlo
79,1.2,1,Monte Carlo
80,1.52,1,Monte Carlo
81,1.72,1,Monte Carlo
82,1.52,1,Monte Carlo
83,1.68,1,Monte Carlo
84,1.72,1,Monte Carlo
85,1.4,1,Monte Carlo
86,1.4,1,Monte Carlo
87,1.44,1,Monte Carlo
88,1.52,1,Monte Carlo
89,1.76,1,Monte Carlo
90,1.56,1,Monte Carlo
91,1.28,1,Monte Carlo
92,1.36,1,Monte Carlo
93,1.24,1,Monte Carlo
94,1.72,1,Monte Carlo
95,1.48,1,Monte Carlo
96,1.52,1,Monte Carlo
97,1.6,1,Monte Carlo
98,1.32,1,Monte Carlo
99,1.4,1,Monte Carlo
100,1.48,1,Monte Carlo
101,1.32,1,Monte Carlo
102,1.32,1,Monte Carlo
103,1.48,1,Monte Carlo
104,1.52,1,Monte Carlo
105,1.44,1,Monte Carlo
106,1.24,1,Monte Carlo
107,1.52,1,Monte Carlo
108,1.64,1,Monte Carlo
109,1.84,1,Monte Carlo
110,1.68,1,Monte Carlo
111,1.68,1,Monte Carlo
112,1.44,1,Monte Carlo
113,2.04,1,Monte Carlo
114,1.6,1,Monte Carlo
115,1.56,1,Monte Carlo
116,1.6,1,Monte Carlo
117,1.44,1,Monte Carlo
118,1.52,1,Monte Carlo
119,1.24,1,Monte Carlo
120,1.64,1,Monte Carlo
121,1.88,1,Monte Carlo
122,1.04,1,Monte Carlo
123,1.56,1,Monte Carlo
124,1.16,1,Monte Carlo
125,1.36,1,Monte Carlo
126,1.44,1,Monte Carlo
127,1.76,1,Monte Carlo
128,1.16,1,Monte Carlo
129,1.44,1,Monte Carlo
130,1.36,1,Monte Carlo
131,1.68,1,Monte Carlo
132,1.32,1,Monte Carlo
133,1.6,1,Monte Carlo
134,1.32,1,Monte Carlo
135,1.48,1,Monte Carlo
136,1.4,1,Monte Carlo
137,2.0,1,Monte Carlo
138,1.68,1,Monte Carlo
139,1.76,1,Monte Carlo
140,1.76,1,Monte Carlo
141,1.72,1,Monte Carlo
142,1.64,1,Monte Carlo
143,1.64,1,Monte Carlo
144,1.56,1,Monte Carlo
145,1.6,1,Monte Carlo
146,1.44,1,Monte Carlo
147,1.6,1,Monte Carlo
148,1.76,1,Monte Carlo
149,1.56,1,Monte Carlo
150,1.32,1,Monte Carlo
6,2.2,1,Latin Hypercube
7,2.44,1,Latin Hypercube
8,2.24,1,Latin Hypercube
9,2.04,1,Latin Hypercube
10,1.88,1,Latin Hypercube
11,2.12,1,Latin Hypercube
12,2.04,1,Latin Hypercube
13,1.84,1,Latin Hypercube
14,1.76,1,Latin Hypercube
15,1.84,1,Latin Hypercube
16,2.04,1,Latin Hypercube
17,1.8,1,Latin Hypercube
18,1.92,1,Latin Hypercube
19,1.88,1,Latin Hypercube
20,1.68,1,Latin Hypercube
21,1.8,1,Latin Hypercube
22,1.52,1,Latin Hypercube
23,1.4,1,Latin Hypercube
24,1.6,1,Latin Hypercube
25,1.84,1,Latin Hypercube
26,1.64,1,Latin Hypercube
27,1.68,1,Latin Hypercube
28,1.52,1,Latin Hypercube
29,2.08,1,Latin Hypercube
30,1.56,1,Latin Hypercube
31,1.72,1,Latin Hypercube
32,1.6,1,Latin Hypercube
33,1.56,1,Latin Hypercube
34,1.44,1,Latin Hypercube
35,1.8,1,Latin Hypercube
36,1.76,1,Latin Hypercube
37,1.72,1,Latin Hypercube
38,1.52,1,Latin Hypercube
39,1.16,1,Latin Hypercube
40,1.6,1,Latin Hypercube
41,1.44,1,Latin Hypercube
42,1.52,1,Latin Hypercube
43,1.64,1,Latin Hypercube
44,1.56,1,Latin Hypercube
45,1.72,1,Latin Hypercube
46,1.6,1,Latin Hypercube
47,1.8,1,Latin Hypercube
48,1.44,1,Latin Hypercube
49,1.44,1,Latin Hypercube
50,2.0,1,Latin Hypercube
51,1.56,1,Latin Hypercube
52,1.84,1,Latin Hypercube
53,1.64,1,Latin Hypercube
54,1.44,1,Latin Hypercube
55,1.44,1,Latin Hypercube
56,1.76,1,Latin Hypercube
57,1.72,1,Latin Hypercube
58,1.56,1,Latin Hypercube
59,1.56,1,Latin Hypercube
60,1.28,1,Latin Hypercube
61,1.48,1,Latin Hypercube
62,1.68,1,Latin Hypercube
63,1.48,1,Latin Hypercube
64,1.84,1,Latin Hypercube
65,1.76,1,Latin Hypercube
66,1.64,1,Latin Hypercube
67,1.2,1,Latin Hypercube
68,1.44,1,Latin Hypercube
69,1.32,1,Latin Hypercube
70,1.8,1,Latin Hypercube
71,1.64,1,Latin Hypercube
72,1.48,1,Latin Hypercube
73,1.48,1,Latin Hypercube
74,1.6,1,Latin Hypercube
75,1.36,1,Latin Hypercube
76,1.56,1,Latin Hypercube
77,1.44,1,Latin Hypercube
78,1.52,1,Latin Hypercube
79,1.6,1,Latin Hypercube
80,1.56,1,Latin Hypercube
81,1.72,1,Latin Hypercube
82,1.84,1,Latin Hypercube
83,1.8,1,Latin Hypercube
84,1.64,1,Latin Hypercube
85,1.68,1,Latin Hypercube
86,1.72,1,Latin Hypercube
87,1.56,1,Latin Hypercube
88,1.48,1,Latin Hypercube
89,1.6,1,Latin Hypercube
90,1.8,1,Latin Hypercube
91,1.64,1,Latin Hypercube
92,1.6,1,Latin Hypercube
93,1.4,1,Latin Hypercube
94,1.44,1,Latin Hypercube
95,1.08,1,Latin Hypercube
96,1.6,1,Latin Hypercube
97,1.6,1,Latin Hypercube
98,1.8,1,Latin Hypercube
99,1.68,1,Latin Hypercube
100,1.32,1,Latin Hypercube
101,1.68,1,Latin Hypercube
102,1.64,1,Latin Hypercube
103,1.56,1,Latin Hypercube
104,1.48,1,Latin Hypercube
105,1.4,1,Latin Hypercube
106,1.24,1,Latin Hypercube
107,1.72,1,Latin Hypercube
108,1.32,1,Latin Hypercube
109,1.6,1,Latin Hypercube
110,1.56,1,Latin Hypercube
111,1.32,1,Latin Hypercube
112,1.76,1,Latin Hypercube
113,1.36,1,Latin Hypercube
114,1.32,1,Latin Hypercube
115,1.64,1,Latin Hypercube
116,1.48,1,Latin Hypercube
117,1.44,1,Latin Hypercube
118,1.64,1,Latin Hypercube
119,1.4,1,Latin Hypercube
120,1.8,1,Latin Hypercube
121,1.64,1,Latin Hypercube
122,1.4,1,Latin Hypercube
123,1.92,1,Latin Hypercube
124,1.68,1,Latin Hypercube
125,1.36,1,Latin Hypercube
126,1.64,1,Latin Hypercube
127,1.28,1,Latin Hypercube
128,1.92,1,Latin Hypercube
129,1.24,1,Latin Hypercube
130,1.72,1,Latin Hypercube
131,1.6,1,Latin Hypercube
132,1.76,1,Latin Hypercube
133,1.52,1,Latin Hypercube
134,1.36,1,Latin Hypercube
135,1.64,1,Latin Hypercube
136,1.68,1,Latin Hypercube
137,1.28,1,Latin Hypercube
138,1.36,1,Latin Hypercube
139,1.4,1,Latin Hypercube
140,1.4,1,Latin Hypercube
141,1.6,1,Latin Hypercube
142,1.52,1,Latin Hypercube
143,1.24,1,Latin Hypercube
144,1.44,1,Latin Hypercube
145,1.64,1,Latin Hypercube
146,1.4,1,Latin Hypercube
147,1.44,1,Latin Hypercube
148,1.24,1,Latin Hypercube
149,1.64,1,Latin Hypercube
150,1.6,1,Latin Hypercube
6,2.52,1,Orthogonal Sampling
7,2.28,1,Orthogonal Sampling
8,2.24,1,Orthogonal Sampling
9,2.0,1,Orthogonal Sampling
10,1.72,1,Orthogonal Sampling
11,2.04,1,Orthogonal Sampling
12,1.92,1,Orthogonal Sampling
13,1.84,1,Orthogonal Sampling
14,1.92,1,Orthogonal Sampling
15,1.8,1,Orthogonal Sampling
16,1.8,1,Orthogonal Sampling
17,1.76,1,Orthogonal Sampling
18,1.76,1,Orthogonal Sampling
19,1.76,1,Orthogonal Sampling
20,1.68,1,Orthogonal Sampling
21,1.68,1,Orthogonal Sampling
22,1.8,1,Orthogonal Sampling
23,1.88,1,Orthogonal Sampling
24,1.64,1,Orthogonal Sampling
25,1.76,1,Orthogonal Sampling
26,1.8,1,Orthogonal Sampling
27,1.64,1,Orthogonal Sampling
28,1.6,1,Orthogonal Sampling
29,1.68,1,Orthogonal Sampling
30,1.56,1,Orthogonal Sampling
31,1.68,1,Orthogonal Sampling
32,1.76,1,Orthogonal Sampling
33,1.72,1,Orthogonal Sampling
34,1.68,1,Orthogonal Sampling
35,1.6,1,Orthogonal Sampling
36,1.72,1,Orthogonal Sampling
37,1.64,1,Orthogonal Sampling
38,1.64,1,Orthogonal Sampling
39,1.56,1,Orthogonal Sampling
40,1.56,1,Orthogonal Sampling
41,1.76,1,Orthogonal Sampling
42,1.52,1,Orthogonal Sampling
43,1.52,1,Orthogonal Sampling
44,1.48,1,Orthogonal Sampling
45,1.56,1,Orthogonal Sampling
46,1.52,1,Orthogonal Sampling
47,1.64,1,Orthogonal Sampling
48,1.52,1,Orthogonal Sampling
49,1.52,1,Orthogonal Sampling
50,1.4,1,Orthogonal Sampling
51,1.72,1,Orthogonal Sampling
52,1.52,1,Orthogonal Sampling
53,1.56,1,Orthogonal Sampling
54,1.68,1,Orthogonal Sampling
55,1.68,1,Orthogonal Sampling
56,1.64,1,Orthogonal Sampling
57,1.6,1,Orthogonal Sampling
58,1.52,1,Orthogonal Sampling
59,1.56,1,Orthogonal Sampling
60,1.6,1,Orthogonal Sampling
61,1.56,1,Orthogonal Sampling
62,1.64,1,Orthogonal Sampling
63,1.6,1,Orthogonal Sampling
64,1.56,1,Orthogonal Sampling
65,1.52,1,Orthogonal Sampling
66,1.56,1,Orthogonal Sampling
67,1.52,1,Orthogonal Sampling
68,1.52,1,Orthogonal Sampling
69,1.72,1,Orthogonal Sampling
70,1.64,1,Orthogonal Sampling
71,1.6,1,Orthogonal Sampling
72,1.56,1,Orthogonal Sampling
73,1.44,1,Orthogonal Sampling
74,1.64,1,Orthogonal Sampling
75,1.56,1,Orthogonal Sampling
76,1.48,1,Orthogonal Sampling
77,1.6,1,Orthogonal Sampling
78,1.56,1,Orthogonal Sampling
