num_s,area,repetition,s_method
100,1.6,1,MC
121,1.4545454545454546,1,MC
144,1.2222222222222223,1,MC
169,1.514792899408284,1,MC
196,1.8775510204081634,1,MC
225,0.9955555555555555,1,MC
256,1.4375,1,MC
289,1.3840830449826989,1,MC
324,1.2345679012345678,1,MC
361,1.8614958448753463,1,MC
400,1.64,1,MC
441,1.3786848072562359,1,MC
484,1.7520661157024793,1,MC
529,1.724007561436673,1,MC
576,1.3333333333333333,1,MC
625,1.2032,1,MC
676,1.4911242603550297,1,MC
729,1.448559670781893,1,MC
784,1.5510204081632653,1,MC
841,1.3888228299643282,1,MC
900,1.4933333333333334,1,MC
961,1.5650364203954215,1,MC
1024,1.453125,1,MC
1089,1.704315886134068,1,MC
1156,1.7024221453287198,1,MC
1225,1.423673469387755,1,MC
1296,1.6790123456790123,1,MC
1369,1.5661066471877283,1,MC
1444,1.4626038781163435,1,MC
1521,1.4937541091387245,1,MC
1600,1.7,1,MC
1681,1.3991671624033313,1,MC
1764,1.6145124716553287,1,MC
1849,1.3931855056787452,1,MC
1936,1.3801652892561984,1,MC
2025,1.5012345679012347,1,MC
2116,1.5198487712665407,1,MC
2209,1.4051607062019014,1,MC
2304,1.4583333333333333,1,MC
2401,1.6059975010412328,1,MC
2500,1.4656,1,MC
2601,1.5747789311803153,1,MC
2704,1.5621301775147929,1,MC
2809,1.5834816660733357,1,MC
2916,1.4320987654320987,1,MC
3025,1.4439669421487604,1,MC
3136,1.3877551020408163,1,MC
3249,1.487226839027393,1,MC
3364,1.5600475624256838,1,MC
3481,1.5168055156564206,1,MC
3600,1.4444444444444444,1,MC
3721,1.543671056167697,1,MC
3844,1.5691987513007284,1,MC
3969,1.5359032501889645,1,MC
4096,1.53125,1,MC
4225,1.541301775147929,1,MC
4356,1.5684113865932048,1,MC
4489,1.6217420360882155,1,MC
4624,1.588235294117647,1,MC
4761,1.5089266960722538,1,MC
4900,1.449795918367347,1,MC
5041,1.5012894267010515,1,MC
5184,1.5740740740740742,1,MC
5329,1.5732782886094951,1,MC
5476,1.4346238130021913,1,MC
5625,1.479111111111111,1,MC
5776,1.479224376731302,1,MC
5929,1.4761342553550345,1,MC
6084,1.5332018408941486,1,MC
6241,1.6330716231373177,1,MC
6400,1.5725,1,MC
6561,1.4363664075598233,1,MC
6724,1.5895300416418798,1,MC
6889,1.6931339817099724,1,MC
7056,1.4829931972789117,1,MC
7225,1.5988927335640137,1,MC
7396,1.5640886965927527,1,MC
7569,1.5854141894569957,1,MC
7744,1.4979338842975207,1,MC
7921,1.5331397550814292,1,MC
8100,1.4795061728395063,1,MC
100,2.08,1,LHS
121,1.71900826446281,1,LHS
144,1.7777777777777777,1,LHS
169,1.893491124260355,1,LHS
196,1.6326530612244898,1,LHS
225,1.7777777777777777,1,LHS
256,1.8125,1,LHS
289,1.7162629757785468,1,LHS
324,1.4814814814814814,1,LHS
361,1.7285318559556786,1,LHS
400,1.8,1,LHS
441,1.4512471655328798,1,LHS
484,1.1900826446280992,1,LHS
529,1.66351606805293,1,LHS
576,1.5,1,LHS
625,1.3824,1,LHS
676,1.349112426035503,1,LHS
729,1.646090534979424,1,LHS
784,1.6326530612244898,1,LHS
841,1.407847800237812,1,LHS
900,1.44,1,LHS
961,1.5317377731529656,1,LHS
1024,1.546875,1,LHS
1089,1.8365472910927456,1,LHS
1156,1.480968858131488,1,LHS
1225,1.4889795918367348,1,LHS
1296,1.5555555555555556,1,LHS
1369,1.5076698319941564,1,LHS
1444,1.6731301939058172,1,LHS
1521,1.5779092702169626,1,LHS
1600,1.61,1,LHS
1681,1.4086853063652587,1,LHS
1764,1.5782312925170068,1,LHS
1849,1.609518658734451,1,LHS
1936,1.5041322314049588,1,LHS
2025,1.5723456790123458,1,LHS
2116,1.610586011342155,1,LHS
2209,1.6079674060660933,1,LHS
2304,1.5138888888888888,1,LHS
2401,1.5460224906289046,1,LHS
2500,1.6128,1,LHS
2601,1.4640522875816993,1,LHS
2704,1.5917159763313609,1,LHS
2809,1.509433962264151,1,LHS
2916,1.5582990397805212,1,LHS
3025,1.5656198347107437,1,LHS
3136,1.5459183673469388,1,LHS
3249,1.5364727608494921,1,LHS
3364,1.5505350772889417,1,LHS
3481,1.5168055156564206,1,LHS
3600,1.48,1,LHS
3721,1.483472184896533,1,LHS
3844,1.490114464099896,1,LHS
3969,1.560090702947846,1,LHS
4096,1.5390625,1,LHS
4225,1.4996449704142012,1,LHS
4356,1.4986225895316805,1,LHS
4489,1.5041211851191802,1,LHS
4624,1.508650519031142,1,LHS
4761,1.4887628649443394,1,LHS
4900,1.5379591836734694,1,LHS
5041,1.4758976393572705,1,LHS
5184,1.5802469135802468,1,LHS
5329,1.5462563332707826,1,LHS
5476,1.4579985390796202,1,LHS
5625,1.5331555555555556,1,LHS
5776,1.5373961218836565,1,LHS
5929,1.5759824590993423,1,LHS
6084,1.5910585141354372,1,LHS
6241,1.5715430219516102,1,LHS
6400,1.5075,1,LHS
6561,1.511964639536656,1,LHS
6724,1.5514574657941702,1,LHS
6889,1.6025547975032661,1,LHS
7056,1.510204081632653,1,LHS
7225,1.5701038062283736,1,LHS
7396,1.531638723634397,1,LHS
7569,1.5938697318007662,1,LHS
7744,1.5082644628099173,1,LHS
7921,1.4523418760257543,1,LHS
8100,1.434074074074074,1,LHS
100,1.76,1,OS
121,1.322314049586777,1,OS
144,1.5555555555555556,1,OS
169,1.6094674556213018,1,OS
196,1.3877551020408163,1,OS
225,1.7066666666666668,1,OS
256,1.6875,1,OS
289,1.439446366782007,1,OS
324,1.5802469135802468,1,OS
361,1.6842105263157894,1,OS
400,1.48,1,OS
441,1.5238095238095237,1,OS
484,1.3553719008264462,1,OS
529,1.5122873345935728,1,OS
576,1.6666666666666667,1,OS
625,1.4848,1,OS
676,1.5621301775147929,1,OS
729,1.646090534979424,1,OS
784,1.5510204081632653,1,OS
841,1.5980975029726516,1,OS
900,1.5644444444444445,1,OS
961,1.5150884495317378,1,OS
1024,1.546875,1,OS
1089,1.5573921028466482,1,OS
1156,1.5501730103806228,1,OS
1225,1.5020408163265306,1,OS
1296,1.5061728395061729,1,OS
1369,1.531044558071585,1,OS
1444,1.518005540166205,1,OS
1521,1.6199868507560815,1,OS
1600,1.55,1,OS
1681,1.5229030339083878,1,OS
1764,1.5419501133786848,1,OS
1849,1.5229853975121688,1,OS
1936,1.5867768595041323,1,OS
2025,1.5802469135802468,1,OS
2116,1.55765595463138,1,OS
2209,1.5138071525577184,1,OS
2304,1.5625,1,OS
2401,1.5660141607663474,1,OS
2500,1.5616,1,OS
2601,1.5747789311803153,1,OS
2704,1.5502958579881656,1,OS
2809,1.549305802776789,1,OS
2916,1.5967078189300412,1,OS
3025,1.5656198347107437,1,OS
3136,1.5357142857142858,1,OS
3249,1.5463219452139119,1,OS
3364,1.5695600475624256,1,OS
3481,1.5903476012640045,1,OS
3600,1.5555555555555556,1,OS
3721,1.5479709755442086,1,OS
3844,1.5275754422476586,1,OS
3969,1.5359032501889645,1,OS
4096,1.55859375,1,OS
4225,1.5602366863905326,1,OS
4356,1.5280073461891643,1,OS
4489,1.5290710625974604,1,OS
4624,1.5259515570934257,1,OS
4761,1.532451165721487,1,OS
4900,1.5575510204081633,1,OS
5041,1.555246974806586,1,OS
5184,1.5462962962962963,1,OS
5329,1.55526365171702,1,OS
5476,1.5661066471877283,1,OS
5625,1.5587555555555554,1,OS
5776,1.5457063711911356,1,OS
5929,1.5435992578849722,1,OS
6084,1.5305719921104537,1,OS
6241,1.5459061047908988,1,OS
6400,1.55,1,OS
6561,1.5485444292028654,1,OS
6724,1.5490779298036883,1,OS
6889,1.5375235883292204,1,OS
7056,1.5487528344671202,1,OS
7225,1.5501730103806228,1,OS
7396,1.5640886965927527,1,OS
7569,1.5663892191835116,1,OS
7744,1.5495867768595042,1,OS
7921,1.5593990657745234,1,OS
8100,1.5427160493827161,1,OS
100,1.28,2,MC
121,1.5867768595041323,2,MC
144,2.0,2,MC
169,1.893491124260355,2,MC
196,1.7142857142857142,2,MC
225,0.9955555555555555,2,MC
256,1.0,2,MC
289,1.217993079584775,2,MC
324,1.6296296296296295,2,MC
361,1.9058171745152355,2,MC
400,1.6,2,MC
441,1.5963718820861679,2,MC
484,1.8181818181818181,2,MC
529,1.3610586011342154,2,MC
576,1.3888888888888888,2,MC
625,1.5872,2,MC
676,1.4437869822485208,2,MC
729,1.4266117969821674,2,MC
784,1.4489795918367347,2,MC
