ite,cost,cooling schedule,repetition
1,34257.55146800426,adaptive,32
1000,17679.01352732245,adaptive,32
2000,14009.969101394356,adaptive,32
3000,11984.681515822374,adaptive,32
4000,10306.702365299634,adaptive,32
5000,9888.585114598129,adaptive,32
6000,8660.334229373155,adaptive,32
7000,8044.394422865961,adaptive,32
8000,7048.890562030505,adaptive,32
9000,7309.31982976164,adaptive,32
10000,6558.8603701485035,adaptive,32
11000,6626.386907984754,adaptive,32
12000,6051.279093767047,adaptive,32
13000,6058.938736318837,adaptive,32
14000,6077.258729970891,adaptive,32
15000,5705.55001794199,adaptive,32
16000,5603.813910883045,adaptive,32
17000,5211.807425361222,adaptive,32
18000,5342.979487818861,adaptive,32
19000,5568.067829983076,adaptive,32
20000,5228.840569169215,adaptive,32
21000,4894.58208111498,adaptive,32
22000,4995.780066580355,adaptive,32
23000,4952.360018611039,adaptive,32
24000,4718.092510439433,adaptive,32
25000,4663.404167365796,adaptive,32
26000,4686.427772427504,adaptive,32
27000,4580.613051472131,adaptive,32
28000,4537.8323151658005,adaptive,32
29000,4305.605454190317,adaptive,32
30000,4430.143707233868,adaptive,32
31000,4244.17939122508,adaptive,32
32000,4281.046553874451,adaptive,32
33000,4329.970650574943,adaptive,32
34000,4255.901121175727,adaptive,32
35000,4263.285253862146,adaptive,32
36000,4144.808511333477,adaptive,32
37000,3956.7447011605327,adaptive,32
38000,4157.268839138718,adaptive,32
39000,3952.4432625194763,adaptive,32
40000,3963.483562282573,adaptive,32
41000,3949.3680917678394,adaptive,32
42000,3760.3960077723,adaptive,32
43000,3837.917160209948,adaptive,32
44000,4049.4051192099096,adaptive,32
45000,3725.2332465984377,adaptive,32
46000,3924.8488120427633,adaptive,32
47000,3828.4609555810716,adaptive,32
48000,3928.218304693849,adaptive,32
49000,4018.6113717839203,adaptive,32
50000,3681.9060689451576,adaptive,32
51000,3857.433811788344,adaptive,32
52000,3694.909227130792,adaptive,32
53000,3823.725126550387,adaptive,32
54000,3488.871404997668,adaptive,32
55000,3489.2421499014677,adaptive,32
56000,3783.235984850335,adaptive,32
57000,3750.8142446684583,adaptive,32
58000,3697.8105510310147,adaptive,32
59000,3653.0464166676293,adaptive,32
60000,3653.6496167035853,adaptive,32
61000,3812.90869049302,adaptive,32
62000,3728.6470743520485,adaptive,32
63000,3805.5426723792184,adaptive,32
64000,3591.0378065723908,adaptive,32
65000,3585.98885708613,adaptive,32
66000,3688.73876388156,adaptive,32
67000,3728.2318360485992,adaptive,32
68000,3624.102086444085,adaptive,32
69000,3461.906818419661,adaptive,32
70000,3532.0096851801814,adaptive,32
71000,3376.7313893837922,adaptive,32
72000,3505.722052625153,adaptive,32
73000,3502.073768329334,adaptive,32
74000,3462.587940458395,adaptive,32
75000,3638.1559852248447,adaptive,32
76000,3617.913751502433,adaptive,32
77000,3651.6312203452794,adaptive,32
78000,3572.5152719317994,adaptive,32
79000,3573.251302166858,adaptive,32
80000,3442.1460076873545,adaptive,32
81000,3456.733698720303,adaptive,32
82000,3452.6244140784497,adaptive,32
83000,3606.044469453599,adaptive,32
84000,3367.1117284701904,adaptive,32
85000,3463.405637976581,adaptive,32
86000,3369.706970001923,adaptive,32
87000,3557.5452128571933,adaptive,32
88000,3634.0729222317386,adaptive,32
89000,3476.099065431339,adaptive,32
90000,3347.7527868162065,adaptive,32
91000,3246.1579931710594,adaptive,32
92000,3570.959577443843,adaptive,32
93000,3600.79005839633,adaptive,32
94000,3614.064753727623,adaptive,32
95000,3423.9859431484774,adaptive,32
96000,3480.327756468736,adaptive,32
97000,3423.2264863717037,adaptive,32
98000,3302.048289036694,adaptive,32
99000,3224.775207517329,adaptive,32
100000,3243.238654148879,adaptive,32
101000,3360.682045066854,adaptive,32
102000,3248.5087652604757,adaptive,32
103000,3521.324620589398,adaptive,32
104000,3464.8317486921205,adaptive,32
105000,3351.7432136860807,adaptive,32
106000,3355.259489343308,adaptive,32
107000,3419.9126148874725,adaptive,32
108000,3270.3366504043825,adaptive,32
109000,3224.473626301626,adaptive,32
110000,3431.847555682875,adaptive,32
111000,3325.6612693473608,adaptive,32
112000,3300.213074093437,adaptive,32
113000,3434.6481836439166,adaptive,32
114000,3291.235042325456,adaptive,32
115000,3300.438580897474,adaptive,32
116000,3186.6879772047305,adaptive,32
117000,3298.283531811496,adaptive,32
118000,3336.7497064140994,adaptive,32
119000,3440.9285161689645,adaptive,32
120000,3082.6157351839333,adaptive,32
121000,3348.4429940365817,adaptive,32
122000,3358.473296536769,adaptive,32
123000,3191.511247404245,adaptive,32
124000,3327.7395215588276,adaptive,32
125000,3234.8361037283753,adaptive,32
126000,3183.0640675397317,adaptive,32
127000,3232.197497176471,adaptive,32
128000,3389.761329972899,adaptive,32
129000,3262.6898434247373,adaptive,32
130000,3317.203004712137,adaptive,32
131000,3318.938437313908,adaptive,32
132000,3241.6294363788006,adaptive,32
133000,3287.1639241497805,adaptive,32
134000,3118.267947455294,adaptive,32
135000,3105.922627259858,adaptive,32
136000,3331.651310401029,adaptive,32
137000,3088.57561177172,adaptive,32
138000,3204.9110995451124,adaptive,32
139000,3401.747269123948,adaptive,32
140000,3306.73801231645,adaptive,32
141000,3084.5437531469,adaptive,32
142000,3275.5333802897826,adaptive,32
143000,3133.6820338265193,adaptive,32
144000,3325.800458280478,adaptive,32
145000,3324.032683426741,adaptive,32
146000,3152.3825224171574,adaptive,32
147000,3188.5978024665046,adaptive,32
148000,3055.12580167257,adaptive,32
149000,3268.411963332424,adaptive,32
150000,3294.8342269214936,adaptive,32
151000,3300.0547116499524,adaptive,32
152000,3212.440079279386,adaptive,32
153000,3133.1021277229825,adaptive,32
154000,3159.011005936054,adaptive,32
155000,3238.959996784687,adaptive,32
156000,2964.5803570077305,adaptive,32
157000,3212.0610777134807,adaptive,32
158000,3125.085366870161,adaptive,32
159000,3195.123751997858,adaptive,32
160000,3172.240321183253,adaptive,32
161000,3261.6474988605632,adaptive,32
162000,3216.219590889823,adaptive,32
163000,3268.7703348289865,adaptive,32
164000,3125.9080369358676,adaptive,32
165000,3174.4730084628764,adaptive,32
166000,3166.837492762172,adaptive,32
167000,3105.9995356157947,adaptive,32
168000,3373.8070378638486,adaptive,32
169000,3262.4580811957053,adaptive,32
170000,2969.3762382590403,adaptive,32
171000,3174.058642340447,adaptive,32
172000,3112.50810654779,adaptive,32
173000,3136.6734109321624,adaptive,32
174000,3244.879146815987,adaptive,32
175000,3171.2923563643826,adaptive,32
176000,3154.0529211053176,adaptive,32
177000,3175.5859576743946,adaptive,32
178000,3148.199235618054,adaptive,32
179000,3044.1861418913104,adaptive,32
180000,3208.706275008882,adaptive,32
181000,3140.014001077138,adaptive,32
182000,3176.1574692470513,adaptive,32
183000,3156.045850796623,adaptive,32
184000,3106.578233932115,adaptive,32
185000,3116.381516684048,adaptive,32
186000,3152.862477206234,adaptive,32
187000,3257.9738348176734,adaptive,32
188000,3148.0697323441136,adaptive,32
189000,3262.964814854592,adaptive,32
190000,3161.3870772501054,adaptive,32
191000,3161.6049457343447,adaptive,32
192000,3131.8795134963684,adaptive,32
193000,3163.2994487429996,adaptive,32
194000,3129.4553705639814,adaptive,32
195000,3110.5431424871103,adaptive,32
196000,3089.547202833183,adaptive,32
197000,3113.26692835657,adaptive,32
198000,3215.7418865044124,adaptive,32
199000,3160.2553800200094,adaptive,32
200000,3121.2134983093156,adaptive,32
201000,3117.836032785025,adaptive,32
202000,3117.086212778963,adaptive,32
203000,3001.1730635869662,adaptive,32
204000,3149.8215017415673,adaptive,32
205000,3003.637576947738,adaptive,32
206000,3090.324408022751,adaptive,32
207000,3127.311297478175,adaptive,32
208000,3208.655650176141,adaptive,32
209000,3092.233729445511,adaptive,32
210000,3162.7432741836155,adaptive,32
211000,3129.2082981063168,adaptive,32
212000,3130.100014377269,adaptive,32
213000,3187.034692946761,adaptive,32
214000,3203.185975005211,adaptive,32
215000,3094.117563720783,adaptive,32
216000,3117.4176316546263,adaptive,32
217000,3163.053572751308,adaptive,32
218000,3084.2360404435117,adaptive,32
219000,3031.763054817509,adaptive,32
220000,3141.6238931650305,adaptive,32
221000,3001.582395880119,adaptive,32
222000,3118.3668015649623,adaptive,32
223000,3271.477011744732,adaptive,32
224000,2980.440342079393,adaptive,32
225000,3180.6394766251574,adaptive,32
226000,3067.447375754591,adaptive,32
227000,3160.508514897937,adaptive,32
228000,3192.298727544055,adaptive,32
229000,3105.98584566641,adaptive,32
230000,3124.151272482871,adaptive,32
231000,3157.928023383623,adaptive,32
232000,3067.890096559295,adaptive,32
233000,3097.1105083457664,adaptive,32
234000,3157.573042166029,adaptive,32
235000,3060.3012413554434,adaptive,32
236000,3109.1809969924097,adaptive,32
237000,3162.7488519494955,adaptive,32
238000,3103.640857915736,adaptive,32
239000,2935.7946390322254,adaptive,32
240000,3049.315808053901,adaptive,32
241000,3013.412773124932,adaptive,32
242000,2968.501970432781,adaptive,32
243000,3046.578352905158,adaptive,32
244000,3188.7809150168355,adaptive,32
245000,3118.097073040549,adaptive,32
246000,3035.005364854263,adaptive,32
247000,2990.384776023348,adaptive,32
248000,3062.2307233388624,adaptive,32
249000,3216.5063923250455,adaptive,32
250000,3087.076856697283,adaptive,32
251000,3073.252559493104,adaptive,32
252000,3037.3278282639753,adaptive,32
253000,3076.808655115652,adaptive,32
254000,3024.982250411273,adaptive,32
255000,2972.5109832486814,adaptive,32
256000,3205.7363330550197,adaptive,32
257000,3120.0581578027763,adaptive,32
258000,3094.8599622506367,adaptive,32
259000,3075.787603208131,adaptive,32
260000,3028.682695979678,adaptive,32
261000,3040.9643966613617,adaptive,32
262000,2994.156499467731,adaptive,32
263000,3079.518366864561,adaptive,32
264000,2993.6507481424574,adaptive,32
265000,2988.7590425104913,adaptive,32
266000,3177.9142654743537,adaptive,32
267000,3064.93965650487,adaptive,32
268000,2903.0401542414425,adaptive,32
269000,3081.0086495516557,adaptive,32
270000,3082.5379487876444,adaptive,32
271000,2986.326149755147,adaptive,32
272000,3066.817341936995,adaptive,32
273000,3153.5231302940647,adaptive,32
274000,3133.6320624513755,adaptive,32
275000,3065.0985382885724,adaptive,32
276000,3123.754854704187,adaptive,32
277000,3193.8754672415203,adaptive,32
278000,2924.956278878503,adaptive,32
279000,2972.533608506019,adaptive,32
280000,3067.58220919531,adaptive,32
281000,3145.528529290814,adaptive,32
282000,3056.5460377159206,adaptive,32
283000,3077.843851901999,adaptive,32
284000,3098.913160832929,adaptive,32
285000,2977.0723556569264,adaptive,32
286000,3117.303617001901,adaptive,32
287000,3020.1307487843956,adaptive,32
288000,2966.9722180429026,adaptive,32
289000,3067.9045087681206,adaptive,32
290000,3106.5126766596,adaptive,32
291000,3048.8253143758275,adaptive,32
292000,2944.2279166628637,adaptive,32
293000,3086.2452502940537,adaptive,32
294000,3069.110531722849,adaptive,32
295000,3076.4025220428675,adaptive,32
296000,3069.7713614063027,adaptive,32
297000,2969.8421637273323,adaptive,32
298000,2998.534317065874,adaptive,32
299000,3065.8997887044516,adaptive,32
300000,3084.2537386147883,adaptive,32
301000,3060.7187144164645,adaptive,32
302000,3077.3887085763367,adaptive,32
303000,2963.0528519059144,adaptive,32
304000,2978.2279632885666,adaptive,32
305000,3057.4801385401106,adaptive,32
306000,2969.4858236138475,adaptive,32
307000,2967.49703616262,adaptive,32
308000,2949.572967607444,adaptive,32
309000,2988.9622602045724,adaptive,32
310000,3011.9841659702115,adaptive,32
311000,3045.7064312112066,adaptive,32
312000,2969.561487844595,adaptive,32
313000,2974.582540871774,adaptive,32
314000,3070.4363724220248,adaptive,32
315000,3053.4238508089607,adaptive,32
316000,3060.373170413553,adaptive,32
317000,3116.41601522773,adaptive,32
318000,3116.0227640084413,adaptive,32
319000,2946.280136718099,adaptive,32
320000,2950.9554037567164,adaptive,32
321000,3096.4515553220435,adaptive,32
322000,3104.907757240423,adaptive,32
323000,2919.641476036546,adaptive,32
324000,3012.195007471069,adaptive,32
325000,2944.456632040361,adaptive,32
326000,2985.9968404051074,adaptive,32
327000,3078.1884156022275,adaptive,32
328000,2950.5572419360496,adaptive,32
329000,3151.911558057664,adaptive,32
330000,3054.838697834787,adaptive,32
331000,3024.803255229823,adaptive,32
332000,2946.2556904732032,adaptive,32
333000,2985.804017398546,adaptive,32
334000,2957.0641621165564,adaptive,32
335000,3068.5118812153255,adaptive,32
336000,3095.381830871903,adaptive,32
337000,3063.778406070068,adaptive,32
338000,3037.7740859180913,adaptive,32
339000,3137.581862949702,adaptive,32
340000,2892.5704978392623,adaptive,32
341000,3092.696932240226,adaptive,32
342000,3107.1620582695623,adaptive,32
343000,2976.4030758826757,adaptive,32
344000,3005.7967633850594,adaptive,32
345000,2930.138750836292,adaptive,32
346000,3001.078508203041,adaptive,32
347000,3006.9211653326565,adaptive,32
348000,2946.3281873723286,adaptive,32
349000,3083.3874954526173,adaptive,32
350000,3108.038553790331,adaptive,32
351000,3047.0103015530176,adaptive,32
352000,3052.7157588533273,adaptive,32
353000,2943.055151287282,adaptive,32
354000,3008.5683707886715,adaptive,32
355000,3058.873995687654,adaptive,32
356000,3034.840024376629,adaptive,32
357000,2990.8733155019954,adaptive,32
358000,2965.9320800068217,adaptive,32
359000,3044.332272992787,adaptive,32
360000,3111.2273824282092,adaptive,32
361000,3078.240805171872,adaptive,32
362000,3038.189123362325,adaptive,32
363000,2985.4527995910853,adaptive,32
364000,2949.8290038633627,adaptive,32
365000,2968.217564114346,adaptive,32
366000,2989.197329197969,adaptive,32
367000,3078.091190829977,adaptive,32
368000,3078.4007937441993,adaptive,32
369000,3068.412852064961,adaptive,32
370000,3106.083368452809,adaptive,32
371000,2998.521192280661,adaptive,32
372000,2911.5559300336554,adaptive,32
373000,3113.022550892515,adaptive,32
374000,3087.7598152694586,adaptive,32
375000,2969.1902858098792,adaptive,32
376000,2985.4833202074287,adaptive,32
377000,3071.6846918001725,adaptive,32
378000,2917.7324785850756,adaptive,32
379000,3021.839143897535,adaptive,32
380000,2966.9276817520795,adaptive,32
381000,2892.459853059022,adaptive,32
382000,3058.058840473228,adaptive,32
383000,2943.647920698443,adaptive,32
384000,3150.8147207531015,adaptive,32
385000,3001.857863966573,adaptive,32
386000,3099.1589792069185,adaptive,32
387000,3013.8240071907703,adaptive,32
388000,2949.9134446056396,adaptive,32
389000,2986.7078196181646,adaptive,32
390000,3125.087388440189,adaptive,32
391000,2939.213082310054,adaptive,32
392000,2926.30792514861,adaptive,32
393000,3150.935353912123,adaptive,32
394000,2960.801627407566,adaptive,32
395000,3104.1235927043554,adaptive,32
396000,2939.7377626767966,adaptive,32
397000,2976.7830613808264,adaptive,32
398000,2920.5773490044,adaptive,32
399000,2998.8820256007953,adaptive,32
400000,3068.648381760693,adaptive,32
401000,3028.679393402387,adaptive,32
402000,2942.0943940114244,adaptive,32
403000,2999.3445465871373,adaptive,32
404000,3068.947165760557,adaptive,32
405000,2853.3144726166224,adaptive,32
406000,3060.589270357327,adaptive,32
