,ite,cost,hyperparameter,repetition
0,1,35718.72456470092,41.5_1.1,9
1,1000,18149.097427617744,41.5_1.1,9
2,2000,13728.648544736838,41.5_1.1,9
3,3000,12858.018417339852,41.5_1.1,9
4,4000,10190.872645127649,41.5_1.1,9
5,5000,8522.514560896772,41.5_1.1,9
6,6000,8646.820734754756,41.5_1.1,9
7,7000,8066.660297350712,41.5_1.1,9
8,8000,7874.467181281266,41.5_1.1,9
9,9000,6934.508480777218,41.5_1.1,9
10,10000,7054.308354401333,41.5_1.1,9
11,11000,6730.346213090867,41.5_1.1,9
12,12000,6409.354828729681,41.5_1.1,9
13,13000,6057.73481363804,41.5_1.1,9
14,14000,5869.8855997981755,41.5_1.1,9
15,15000,5575.285197954259,41.5_1.1,9
16,16000,5487.179846913635,41.5_1.1,9
17,17000,5345.456881816615,41.5_1.1,9
18,18000,5426.799814231459,41.5_1.1,9
19,19000,4983.657711030547,41.5_1.1,9
20,20000,4970.8740261293015,41.5_1.1,9
21,21000,5013.493334195088,41.5_1.1,9
22,22000,5023.358534960891,41.5_1.1,9
23,23000,5002.659657312739,41.5_1.1,9
24,24000,4795.496425174705,41.5_1.1,9
25,25000,4493.617966175609,41.5_1.1,9
26,26000,4683.036168650571,41.5_1.1,9
27,27000,4575.2555582871155,41.5_1.1,9
28,28000,4535.4759672542,41.5_1.1,9
29,29000,4333.722961982712,41.5_1.1,9
30,30000,4453.694851196826,41.5_1.1,9
31,31000,4256.132023972392,41.5_1.1,9
32,32000,4387.327989701397,41.5_1.1,9
33,33000,4111.354389471242,41.5_1.1,9
34,34000,4291.474523060704,41.5_1.1,9
35,35000,4159.571141122367,41.5_1.1,9
36,36000,4079.198058154027,41.5_1.1,9
37,37000,3900.0906172520213,41.5_1.1,9
38,38000,4036.2461194155567,41.5_1.1,9
39,39000,3983.48068208769,41.5_1.1,9
40,40000,3998.7021345886096,41.5_1.1,9
41,41000,3963.6935086332483,41.5_1.1,9
42,42000,3971.951016958834,41.5_1.1,9
43,43000,4051.8273110611085,41.5_1.1,9
44,44000,3856.6328512622654,41.5_1.1,9
45,45000,3859.4096210837683,41.5_1.1,9
46,46000,3888.2937129210977,41.5_1.1,9
47,47000,3993.241036171315,41.5_1.1,9
48,48000,3740.5668141833967,41.5_1.1,9
49,49000,3811.837565333264,41.5_1.1,9
50,50000,3724.2496760768495,41.5_1.1,9
51,51000,3788.026068716255,41.5_1.1,9
52,52000,3700.0457537002508,41.5_1.1,9
53,53000,3612.734303645072,41.5_1.1,9
54,54000,3884.605127902179,41.5_1.1,9
55,55000,3699.402617121176,41.5_1.1,9
56,56000,3719.4249415976924,41.5_1.1,9
57,57000,3540.149459193416,41.5_1.1,9
58,58000,3680.5990571696902,41.5_1.1,9
59,59000,3709.892312413742,41.5_1.1,9
60,60000,3632.9724791854283,41.5_1.1,9
61,61000,3667.9791097164493,41.5_1.1,9
62,62000,3440.407918390753,41.5_1.1,9
63,63000,3533.3829641111756,41.5_1.1,9
64,64000,3520.3342113772724,41.5_1.1,9
65,65000,3452.548129218773,41.5_1.1,9
66,66000,3717.9426288133086,41.5_1.1,9
67,67000,3463.392004328283,41.5_1.1,9
68,68000,3695.300428861434,41.5_1.1,9
69,69000,3583.308831102227,41.5_1.1,9
70,70000,3686.8029027782477,41.5_1.1,9
71,71000,3381.5190708511545,41.5_1.1,9
72,72000,3529.6567619946914,41.5_1.1,9
73,73000,3548.5226156918807,41.5_1.1,9
74,74000,3513.4114453341817,41.5_1.1,9
75,75000,3358.184520447579,41.5_1.1,9
76,76000,3321.4325233529003,41.5_1.1,9
77,77000,3496.10818857688,41.5_1.1,9
78,78000,3513.7536561250677,41.5_1.1,9
79,79000,3558.0361340931377,41.5_1.1,9
80,80000,3472.8724405388075,41.5_1.1,9
81,81000,3352.197889172234,41.5_1.1,9
82,82000,3470.1722118949006,41.5_1.1,9
83,83000,3448.0831977320167,41.5_1.1,9
84,84000,3508.747671452797,41.5_1.1,9
85,85000,3443.294188207446,41.5_1.1,9
86,86000,3330.409705107228,41.5_1.1,9
87,87000,3462.910966431724,41.5_1.1,9
88,88000,3558.788337065602,41.5_1.1,9
89,89000,3288.1703656895293,41.5_1.1,9
90,90000,3468.539457154538,41.5_1.1,9
91,91000,3341.609930659054,41.5_1.1,9
92,92000,3426.563271307097,41.5_1.1,9
93,93000,3418.5886088143443,41.5_1.1,9
94,94000,3365.712273343041,41.5_1.1,9
95,95000,3409.448609043174,41.5_1.1,9
96,96000,3339.891602075302,41.5_1.1,9
97,97000,3266.5047530034835,41.5_1.1,9
98,98000,3263.7641883741226,41.5_1.1,9
99,99000,3467.73098092442,41.5_1.1,9
100,100000,3355.7442647647745,41.5_1.1,9
101,101000,3293.2517028270477,41.5_1.1,9
102,102000,3220.668565148913,41.5_1.1,9
103,103000,3271.8164648557354,41.5_1.1,9
104,104000,3312.0202791650845,41.5_1.1,9
105,105000,3300.4840827588055,41.5_1.1,9
106,106000,3351.046087392742,41.5_1.1,9
107,107000,3242.2932970597876,41.5_1.1,9
108,108000,3259.7106806832594,41.5_1.1,9
109,109000,3289.2351075636316,41.5_1.1,9
110,110000,3211.309010463904,41.5_1.1,9
111,111000,3232.0413465396186,41.5_1.1,9
112,112000,3303.959495059545,41.5_1.1,9
113,113000,3298.373871109591,41.5_1.1,9
114,114000,3426.459001243083,41.5_1.1,9
115,115000,3145.5098415767757,41.5_1.1,9
116,116000,3354.1826665860285,41.5_1.1,9
117,117000,3338.3203156071327,41.5_1.1,9
118,118000,3149.426024267805,41.5_1.1,9
119,119000,3277.3167679840794,41.5_1.1,9
120,120000,3183.136298393162,41.5_1.1,9
121,121000,3218.637119421021,41.5_1.1,9
122,122000,3236.816492917473,41.5_1.1,9
123,123000,3263.3300432849487,41.5_1.1,9
124,124000,3315.404318258106,41.5_1.1,9
125,125000,3244.92199653988,41.5_1.1,9
126,126000,3290.884770107228,41.5_1.1,9
127,127000,3158.0887493049077,41.5_1.1,9
128,128000,3364.82289747392,41.5_1.1,9
129,129000,3198.9385456134573,41.5_1.1,9
130,130000,3098.3707886671345,41.5_1.1,9
131,131000,3257.8954732747966,41.5_1.1,9
132,132000,3243.584206913152,41.5_1.1,9
133,133000,3184.5607015888027,41.5_1.1,9
134,134000,3134.173224829572,41.5_1.1,9
135,135000,3186.9315483938417,41.5_1.1,9
136,136000,3139.9385616753525,41.5_1.1,9
137,137000,3308.524789746166,41.5_1.1,9
138,138000,3161.4122115686346,41.5_1.1,9
139,139000,3516.1343341258143,41.5_1.1,9
140,140000,3099.5948910524007,41.5_1.1,9
141,141000,3248.9968168480377,41.5_1.1,9
142,142000,3170.7291171251823,41.5_1.1,9
143,143000,3215.067789151951,41.5_1.1,9
144,144000,3179.0447662056495,41.5_1.1,9
145,145000,3208.8451267577357,41.5_1.1,9
146,146000,3177.210629590782,41.5_1.1,9
147,147000,3138.571577248521,41.5_1.1,9
148,148000,3104.8005253737215,41.5_1.1,9
149,149000,3177.565622474328,41.5_1.1,9
150,150000,3182.6485243340935,41.5_1.1,9
151,151000,3144.6929243084483,41.5_1.1,9
152,152000,3277.9628688119637,41.5_1.1,9
153,153000,3146.596140094349,41.5_1.1,9
154,154000,3109.111680353644,41.5_1.1,9
155,155000,3275.9496556858344,41.5_1.1,9
156,156000,3127.262129918132,41.5_1.1,9
157,157000,3171.8233681125835,41.5_1.1,9
158,158000,3132.4403631563146,41.5_1.1,9
159,159000,3162.559811678106,41.5_1.1,9
160,160000,3209.1467901657,41.5_1.1,9
161,161000,3175.9212845978836,41.5_1.1,9
162,162000,3116.6930990157634,41.5_1.1,9
163,163000,3209.40807143677,41.5_1.1,9
164,164000,3099.6854396724466,41.5_1.1,9
165,165000,3167.593447146289,41.5_1.1,9
166,166000,3161.8405858350557,41.5_1.1,9
167,167000,3030.823460011277,41.5_1.1,9
168,168000,3055.8611498421224,41.5_1.1,9
